RecordID,MonthOccurrence,SuspectsRaceAsAGroup,MostSeriousUCR,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
220076956,2,White,Intimidation,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
220197239,3,Black or African American,Intimidation,Highway/Road/Alley/Street,Anti-Female,Gender
220344189,5,Unknown,Intimidation,Community Center,Anti-Jewish,Religion
220578811,8,Black or African American,Simple Assault,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
220749125,10,White,Aggravated Assault,Bar/Night Club,Anti-Black or African American,Race/Ethnicity/Ancestry
230071639,1,Group of Multiple Ethnicities,Aggravated Assault,Park/Playground,Anti-Asian,Race/Ethnicity/Ancestry
230133405,2,White,Simple Assault,Air/Bus/Train Terminal,Anti-Asian,Race/Ethnicity/Ancestry
230213847,3,Unknown,Destruction/Damage/Vandalism,Park/Playground,Anti-Jewish,Religion
230426028,6,Unknown,Intimidation,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
230531473,7,White,Robbery,Grocery/Supermarket,Anti-Arab,Race/Ethnicity/Ancestry
230607375,8,Unknown,Destruction/Damage/Vandalism,Dock/Wharf/Freight/Modal Terminal,Anti-Jewish,Religion
230738356-2,10,Unknown,Destruction/Damage/Vandalism,Bank/Savings and Loan,Anti-Jewish,Religion
230740969,10,White,Aggravated Assault,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
230805723,11,White,Intimidation,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry
240019312,1,White,Aggravated Assault,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
240155847,3,Asian/Pacific Islander,Intimidation,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
240242400,4,White,Simple Assault,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
240310687,5,Unknown,Destruction/Damage/Vandalism,Church/Synagogue/Temple,Anti-Jewish,Religion
240441903,7,White,Intimidation,Park/Playground,Anti-Black or African American,Race/Ethnicity/Ancestry
240544416,8,Unknown,Destruction/Damage/Vandalism,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry
