record_id,suspects_race_as_a_group,most_serious_location,most_serious_bias,most_serious_bias_type
220076956,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
220197239,Black or African American,Highway/Road/Alley/Street,Anti-Female,Gender
220344189,Unknown,Community Center,Anti-Jewish,Religion
220578811,Black or African American,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
220749125,White,Bar/Night Club,Anti-Black or African American,Race/Ethnicity/Ancestry
230071639,Group of Multiple Ethnicities,Park/Playground,Anti-Asian,Race/Ethnicity/Ancestry
230133405,White,Air/Bus/Train Terminal,Anti-Asian,Race/Ethnicity/Ancestry
230213847,Unknown,Park/Playground,Anti-Jewish,Religion
230426028,Unknown,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
230531473,White,Grocery/Supermarket,Anti-Arab,Race/Ethnicity/Ancestry
230607375,Unknown,Dock/Wharf/Freight/Modal Terminal,Anti-Jewish,Religion
230738356-2,Unknown,Bank/Savings and Loan,Anti-Jewish,Religion
230740969,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
230805723,White,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry
240019312,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
240155847,Asian/Pacific Islander,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
240242400,White,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
240310687,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
240441903,White,Park/Playground,Anti-Black or African American,Race/Ethnicity/Ancestry
240544416,Unknown,Government/Public Building,Anti-Black or African American,Race/Ethnicity/Ancestry
240630805,Unknown,Restaurant,Anti-Jewish,Religion
240759966,Unknown,Community Center,Anti-Jewish,Religion
250009698,Black or African American,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual/Transgender,Sexual Orientation
250249797,White,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming
250322967,Unknown,Restaurant,Anti-Jewish,Religion
250456726,White,Other/Unknown,Anti-Black or African American,Race/Ethnicity/Ancestry
250488519,Black or African American,Other/Unknown,Anti-White,Race/Ethnicity/Ancestry
250630566,Unknown,School-Elementary/Secondary,Anti-Jewish,Religion
CA00-0000011531,Unknown,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000011535,White,Hotel/Motel/etc.,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000011663,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000011755,Unknown,Commercial/Office Building,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000011760,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000011987,Unknown,Air/Bus/Train Terminal,Anti-Jewish,Religion
