RecordId,SuspectsRaceAsAGroup,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
CA01-0000000001,White,Bar/Night Club,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000002,White,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000003,White,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA01-0000000004,White,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000005,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000006,Black or African American,School/college,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000007,Black or African American,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000008,Unknown,Parking Lot/Garage,Anti-Gay (Male),Sexual Orientation
CA01-0000000009,Unknown,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000010,Unknown,Parking Lot/Garage,Anti-Lesbian,Sexual Orientation
CA01-0000000011,Unknown,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000012,Unknown,Church/Synagogue/Temple,Anti-Islamic (Muslim),Religion
CA01-0000000013,White,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000014,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000015,Black or African American,School/college,Anti-Asian,Race/Ethnicity/Ancestry
CA01-0000000016,Black or African American,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000017,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA01-0000000018,Black or African American,Restaurant,Anti-Gay (Male),Sexual Orientation
CA01-0000000019,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000020,Unknown,Liquor Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000021,Black or African American,Liquor Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000022,Black or African American,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000023,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000024,Black or African American,Grocery/Supermarket,Anti-White,Race/Ethnicity/Ancestry
CA01-0000000025,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA01-0000000026,Unknown,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000027,Unknown,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000028,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000029,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA01-0000000030,Unknown,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000031,Unknown,School/college,Anti-Black or African American,Race/Ethnicity/Ancestry
CA01-0000000032,White,School/college,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000033,White,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000034,White,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000035,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000036,Unknown,School/college,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000037,Unknown,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000038,White,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000039,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000040,White,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000041,Unknown,School/college,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000042,White,Parking Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA01-0000000043,White,Service/Gas Station,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA01-0000000044,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
